item,mean,sd,count_0,count_1,count_2,count_3,count_4,count_5,count_6
agenda,2.53,1.72,268,96,214,240,297,131,18
feedback,2.39,1.49,195,123,374,283,200,88,0
understanding,3.24,0.91,0,20,176,630,364,74,0
interpersonal,3.96,0.94,0,0,65,224,656,281,37
collaboration,3.27,1.07,16,32,244,429,408,119,16
pacing,2.92,1.14,36,56,381,393,315,82,0
guided_discovery,2.73,1.05,34,38,501,404,241,47,0
key_cognitions,2.84,1.29,48,121,352,317,330,97,0
strategy,2.69,1.47,152,100,312,266,346,89,0
technique,2.33,1.39,197,92,414,309,192,61,0
homework,2.14,1.50,312,50,340,323,191,48,0
total,31.04,11.10,,,,,,,
