disorder,role,emotion,Human,G3.1_LA,12B_A,12B_T,E2B_A,E2B_T,Q3.6_T,Q3.5_T
MDD,patient,joy,3.09,1.59,3.44,1.83,-1.15,-1.59,0.98,0.64
MDD,patient,trust,5.41,1.84,1.77,0.84,2.87,1.72,2.95,1.30
MDD,patient,fear,-2.40,1.32,0.68,0.75,-0.20,0.32,-1.09,1.67
MDD,patient,surprise,1.60,2.14,4.47,2.59,0.96,0.98,3.73,4.39
MDD,patient,sadness,0.30,3.85,5.12,4.75,2.99,3.45,3.03,5.15
MDD,patient,disgust,-3.93,-1.88,-1.28,-1.12,-2.02,-2.33,-3.07,0.83
MDD,patient,anger,-2.50,-0.82,-0.25,0.62,0.32,0.25,-0.90,2.40
MDD,patient,anticipation,5.77,3.62,4.41,3.83,2.72,2.66,5.24,3.44
MDD,therapist,joy,2.34,0.48,1.13,0.06,-1.40,-0.80,-1.71,-0.90
MDD,therapist,trust,6.98,3.37,3.30,3.78,4.46,4.66,4.80,4.15
MDD,therapist,fear,-1.57,0.17,0.01,-0.15,-0.64,-1.25,-1.48,2.07
MDD,therapist,surprise,1.73,1.26,1.90,0.74,1.17,1.23,2.37,3.54
MDD,therapist,sadness,-0.31,3.39,3.17,3.03,2.55,2.18,1.73,3.62
MDD,therapist,disgust,-5.19,-2.59,-3.52,-2.05,-3.62,-3.92,-4.66,-1.99
MDD,therapist,anger,-2.84,-0.88,-1.55,-0.98,-0.81,-1.54,-3.53,-0.06
MDD,therapist,anticipation,5.76,4.21,3.16,3.47,4.39,5.59,4.79,4.56
GAD,patient,joy,3.09,0.62,-2.30,-1.87,-2.05,-2.04,-2.96,-1.72
GAD,patient,trust,5.41,2.37,2.37,2.46,3.05,1.07,3.00,2.73
GAD,patient,fear,-2.40,1.56,3.54,2.09,2.29,2.46,0.73,3.09
GAD,patient,surprise,1.60,2.67,3.18,4.05,3.03,2.77,3.74,4.51
GAD,patient,sadness,0.30,2.30,2.85,2.97,1.89,3.51,1.73,2.94
GAD,patient,disgust,-3.93,-2.75,-3.16,-3.64,-2.80,-3.23,-3.34,-1.40
GAD,patient,anger,-2.50,-1.05,-0.48,0.96,0.05,0.19,-0.94,0.46
GAD,patient,anticipation,5.77,4.89,4.38,4.74,4.58,4.09,4.87,4.54
GAD,therapist,joy,2.34,0.32,-1.90,-1.69,-2.15,-2.06,-1.66,-2.11
GAD,therapist,trust,6.98,3.97,3.05,4.96,4.12,4.39,5.24,5.42
GAD,therapist,fear,-1.57,0.07,3.07,1.38,1.65,-0.44,-1.10,2.09
GAD,therapist,surprise,1.73,1.55,3.92,2.59,2.71,2.97,1.87,2.96
GAD,therapist,sadness,-0.31,1.45,2.09,1.25,1.26,1.29,-0.23,1.33
GAD,therapist,disgust,-5.19,-4.51,-4.10,-4.71,-4.86,-4.57,-5.88,-3.76
GAD,therapist,anger,-2.84,-2.24,-1.24,-1.43,-1.27,-1.61,-4.44,-1.01
GAD,therapist,anticipation,5.76,4.72,4.69,5.09,6.49,6.18,7.33,4.82
BPD,patient,joy,3.09,-1.18,0.06,-0.37,-2.31,-2.06,-2.20,-2.19
BPD,patient,trust,5.41,2.03,1.35,0.81,-0.08,-0.93,2.11,2.76
BPD,patient,fear,-2.40,2.37,3.55,3.35,2.03,2.60,3.30,3.16
BPD,patient,surprise,1.60,2.41,3.95,3.46,1.83,2.54,3.16,4.01
BPD,patient,sadness,0.30,4.12,4.71,3.57,4.66,4.92,3.81,3.54
BPD,patient,disgust,-3.93,-0.28,0.89,-0.45,-0.07,0.08,-0.83,1.15
BPD,patient,anger,-2.50,2.15,1.60,2.23,3.17,2.85,1.61,2.52
BPD,patient,anticipation,5.77,2.13,3.96,2.98,2.37,3.05,3.71,2.66
BPD,therapist,joy,2.34,-1.42,-0.89,-1.80,-2.11,-1.17,-3.01,-2.56
BPD,therapist,trust,6.98,3.73,2.16,1.79,2.56,2.36,4.69,3.31
BPD,therapist,fear,-1.57,1.56,4.08,4.24,1.04,1.45,1.55,3.26
BPD,therapist,surprise,1.73,1.28,2.28,2.77,3.00,2.53,3.93,4.00
BPD,therapist,sadness,-0.31,3.66,4.38,4.15,4.04,2.80,3.29,3.75
BPD,therapist,disgust,-5.19,-2.09,-1.80,-2.26,-3.41,-3.00,-3.72,-1.02
BPD,therapist,anger,-2.84,1.28,0.14,1.13,0.96,1.15,-0.89,2.21
BPD,therapist,anticipation,5.76,3.27,3.44,3.07,4.70,5.34,5.37,3.09
