item,Human,G3.1_LA,12B_A,12B_T,E2B_A,E2B_T,Q3.6_T,Q3.5_T
agenda,2.53,1.47,3.61,3.74,4.04,4.12,4.34,3.80
feedback,2.39,2.51,2.38,2.71,4.01,4.03,3.51,4.68
understanding,3.24,3.72,5.97,5.98,6.00,6.00,4.79,5.66
interpersonal,3.96,3.75,5.90,5.94,6.00,6.00,4.50,5.42
collaboration,3.27,2.84,4.93,5.21,4.12,4.34,3.72,4.79
pacing,2.92,2.76,4.35,4.81,5.13,5.13,3.59,4.80
guided_discovery,2.73,2.78,5.59,5.79,5.34,5.68,3.40,5.17
key_cognitions,2.84,3.76,5.65,5.85,5.98,5.99,4.57,5.67
strategy,2.69,2.63,4.52,4.92,5.41,5.81,3.85,4.69
technique,2.33,2.68,4.89,5.16,4.65,5.38,3.50,5.01
homework,2.14,1.07,0.36,0.56,2.03,3.50,1.37,3.23
total,31.04,29.97,48.15,50.66,52.70,55.99,41.15,52.91
total_sd,11.10,7.06,3.49,4.11,3.93,3.52,10.49,10.41
